a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alsa-card-profiles 1:1.2.3-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
amd-ucode 20240909.552ed9b8-1
aom 3.10.0-1
appstream 1.0.3-1
aquamarine-git 0.3.3_r202.g7cc3d31-1
aquamarine-git-debug 0.3.3_r202.g7cc3d31-1
arc-gtk-theme 20221218-2
archlinux-keyring 20240709-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.5.0-1
attr 2.5.2-1
atuin 18.3.0-1
audiofile 0.3.6-9
audit 4.0.2-2
aurutils 20-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
baloo 6.5.0-1
baloo-widgets 24.08.0-1
bamf 0.5.6-1
base 3-2
base-devel 1-2
bash 5.2.032-2
bat 0.24.0-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
bluez 5.78-1
bluez-libs 5.78-1
bluez-utils 5.78-1
bmon 4.0-5
boost 1.86.0-2
boost-libs 1.86.0-2
botan2 2.19.5-1
breeze-icons 6.5.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-2
btop 1.3.2-1
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.2-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
catppuccin-cursors-mocha 0.3.1-1
cdparanoia 10.2-9
chromaprint 1.5.1-8
cifs-utils 7.0-5
clang 18.1.8-2
clipboard 0.9.0.1-1
clipboard-debug 0.9.0.1-1
cliphist 1:0.5.0-1
clipman 1.6.4-1
clipman-debug 1.6.4-1
clucene 2.3.3.4-15
cmake 3.30.3-1
code 1.93.0-1
collectl 4.3.1-1
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.5-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-1
curl 8.9.1-2
cutefetch 0.1.0-1
cutefetch-debug 0.1.0-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
diffutils 3.10-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-8
double-conversion 3.3.0-2
duktape 2.7.0-7
dunst 1.11.0-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
efibootmgr 18-3
efivar 39-1
electron30 30.5.0-1
ell 0.69-1
enchant 2.8.0-1
exiv2 0.28.3-1
exo 4.18.0-2
expat 2.6.3-2
eza 0.19.3-1
faad2 2.11.1-1
fakeroot 1.36-1
farstream 0.2.9-3
fastfetch 2.24.0-1
feh 3.10.3-1
ffmpeg 2:7.0.2-2
ffmpeg4.4 4.4.4-6
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 130.0-1
flac 1.4.3-2
flameshot-git r1951.fd3772e2-1
flameshot-git-debug r1951.fd3772e2-1
flatpak 1:1.15.10-1
flex 2.6.4-5
fluidsynth 2.3.6-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.54.3-1
gawk 5.3.0-2
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr-4 4.3.0-1
gd 2.3.3-8
gdb 15.1-1
gdb-common 15.1-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
geoclue 2.7.2-1
gettext 0.22.5-2
ghostscript 10.03.1-1
giflib 5.2.2-1
girara 0.4.4-1
git 2.46.0-2
git-lfs 3.5.1-1
gitui 0.26.3-1
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib2 2.80.5-1
glib2-docs 2.80.5-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glslang 14.2.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-menus 3.36.0-3
gnupg 2.4.5-4
gnutls 3.8.7-1
go 2:1.23.1-1
gobject-introspection 1.80.1-3
gobject-introspection-runtime 1.80.1-3
google-chrome 128.0.6613.119-1
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
granite 1:6.2.0-1
graphene 1.10.8-1
graphite 1:1.3.14-4
graphviz 12.1.0-2
grep 3.11-1
grim 1.4.1-2
groff 1.23.0-7
grub 2:2.12-2
gsettings-desktop-schemas 46.1-2
gsettings-system-schemas 46.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gssdp 1.6.3-1
gst-plugin-pipewire 1:1.2.3-1
gst-plugins-bad-libs 1.24.7-1
gst-plugins-base 1.24.7-1
gst-plugins-base-libs 1.24.7-1
gst-plugins-good 1.24.7-1
gstreamer 1.24.7-1
gtest 1.15.2-1
gtk-doc 1.34.0-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.14.5-1
gtk2 2.24.33-5
gtk3 1:3.24.43-2
gtk4 1:4.14.5-1
gtkmm3 3.24.9-1
gtkspell 2.0.16-8
gts 0.7.6.121130-2
guile 3.0.10-1
gulp 5.0.0-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.54.2-1
gvfs-mtp 1.54.2-1
gzip 1.13-4
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.387-1
hyphen 2.8.8-6
hyprcursor-git 0.1.9.r11.g912d5602-1
hyprcursor-git-debug 0.1.9.r11.g912d5602-1
hypridle 0.1.2-1
hyprland-git 0.42.0.r81.d105c740-1
hyprland-git-debug 0.42.0.r81.d105c740-1
hyprlang-git 0.5.2.r9.g16e5c946-1
hyprlang-git-debug 0.5.2.r9.g16e5c946-1
hyprpaper 0.7.1-1
hyprpicker-git 0.3.0.r12.38fe668-1
hyprpicker-git-debug 0.3.0.r12.38fe668-1
hyprshot 1.3.0-1
hyprutils-git 0.2.1.r1.g0252fd13-1
hyprutils-git-debug 0.2.1.r1.g0252fd13-1
hyprwayland-scanner 0.4.0-1
hyprwayland-scanner-git-debug 0.4.0.r4.ga048a6cb-1
iana-etc 20240814-1
icu 75.1-1
iftop 1.0pre4-6
ijs 0.35-6
imath 3.1.12-1
imlib2 1.12.3-1
intltool 0.51.0-6
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.16.0-1
iw 6.9-1
jansson 2.14-4
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
json-c 0.17-2
json-glib 1.10.0-1
jsoncpp 1.9.5-3
karchive 6.5.0-1
kauth 6.5.0-1
kbd 2.6.4-2
kbookmarks 6.5.0-1
kcmutils 6.5.0-1
kcodecs 6.5.0-1
kcolorscheme 6.5.0-1
kcompletion 6.5.0-1
kconfig 6.5.0-1
kconfigwidgets 6.5.0-1
kcoreaddons 6.5.0-1
kcrash 6.5.0-1
kdbusaddons 6.5.0-1
kdnssd 6.5.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.5.0-1
kglobalaccel 6.5.0-1
kguiaddons 6.5.0-1
kguiaddons5 5.116.0-1
ki18n 6.5.0-1
kiconthemes 6.5.0-1
kidletime 6.5.0-1
kio 6.5.0-1
kio-extras 24.08.0-2
kirigami 6.5.0-2
kitemviews 6.5.0-1
kitty 0.36.2-1
kitty-shell-integration 0.36.2-1
kitty-terminfo 0.36.2-1
kjobwidgets 6.5.0-1
kmod 33-3
knewstuff 6.5.0-1
knotifications 6.5.0-1
kpackage 6.5.0-1
kparts 6.5.0-1
krb5 1.21.3-1
kservice 6.5.0-1
ktextwidgets 6.5.0-1
kuserfeedback 6.5.0-1
kwallet 6.5.0-1
kwidgetsaddons 6.5.0-1
kwindowsystem 6.5.0-1
kxmlgui 6.5.0-1
l-smash 2.14.5-4
lame 3.100-5
lcms2 2.16-1
ldb 2:4.21.0-2
less 1:661-1
libabw 0.1.3-4
libadwaita 1:1.5.3-1
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.4-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.1.1-1
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
libblockdev-swap 3.1.1-2
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.8-3
libcaca 0.99.beta20-4
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.70-1
libcap-ng 0.8.5-2
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.7-8
libcloudproviders 0.3.6-1
libcmis 0.6.2-2
libcolord 1.4.7-2
libcups 2:2.4.10-1
libcurl-gnutls 8.9.1-2
libdaemon 0.14-6
libdatrie 0.2.13-4
